id,similarity_to_gt,added_lines,removed_lines,total_edit_lines,ok_braces,no_unsafe_calls,llm_verdict,llm_confidence,final_score,prompt_chars,output_chars,minimality_score,exact_match,is_safe,is_unclear,is_unsafe,validity_score,prompt_tokens_est,output_tokens_est
184033,0.9319627998042096,12,6,18,True,True,SAFE,1.0,4.0,1565,1072,0.05263157894736842,False,True,False,False,3.0,391.25,268.0
184706,0.7562776957163959,5,2,7,True,True,SAFE,1.0,4.0,811,331,0.125,False,True,False,False,3.0,202.75,82.75
180442,0.360655737704918,2,0,2,True,True,UNCLEAR,0.5,2.25,756,150,0.3333333333333333,False,False,True,False,1.25,189.0,37.5
184315,0.234375,8,2,10,True,True,SAFE,1.0,4.0,769,339,0.09090909090909091,False,True,False,False,3.0,192.25,84.75
178944,0.7304093567251462,16,18,34,True,True,UNCLEAR,0.6,2.3,2447,1572,0.02857142857142857,False,False,True,False,1.3,611.75,393.0
183960,0.7348242811501597,7,3,10,True,True,SAFE,1.0,4.0,684,142,0.09090909090909091,False,True,False,False,3.0,171.0,35.5
186344,0.8504577822990844,6,1,7,True,True,SAFE,1.0,4.0,1016,556,0.125,False,True,False,False,3.0,254.0,139.0
186761,0.91156462585034,9,5,14,True,True,UNCLEAR,0.7,2.35,878,389,0.06666666666666667,False,False,True,False,1.35,219.5,97.25
188384,0.1580135440180587,5,1,6,True,True,SAFE,1.0,4.0,982,408,0.14285714285714285,False,True,False,False,3.0,245.5,102.0
184068,0.9479680972274972,14,9,23,True,True,SAFE,1.0,4.0,1862,1365,0.041666666666666664,False,True,False,False,3.0,465.5,341.25
178978,0.9719557195571956,4,0,4,True,True,UNCLEAR,0.5,2.25,1926,1383,0.2,False,False,True,False,1.25,481.5,345.75
184704,0.8012422360248447,6,3,9,True,True,SAFE,1.0,4.0,654,176,0.1,False,True,False,False,3.0,163.5,44.0
181730,0.9254901960784314,11,8,19,True,True,SAFE,1.0,4.0,5594,5140,0.05,False,True,False,False,3.0,1398.5,1285.0
183087,0.8272058823529411,29,27,56,True,True,SAFE,1.0,4.0,1855,1292,0.017543859649122806,False,True,False,False,3.0,463.75,323.0
186336,0.3783783783783784,12,8,20,True,True,SAFE,1.0,4.0,1166,631,0.047619047619047616,False,True,False,False,3.0,291.5,157.75
187858,0.8042806183115339,65,64,129,True,True,SAFE,1.0,4.0,2473,2235,0.007692307692307693,False,True,False,False,3.0,618.25,558.75
180454,0.5296803652968036,4,1,5,True,True,SAFE,1.0,4.0,736,161,0.16666666666666666,False,True,False,False,3.0,184.0,40.25
188441,0.6574371095728516,52,52,104,True,True,SAFE,1.0,4.0,3555,3316,0.009523809523809525,False,True,False,False,3.0,888.75,829.0
