id,similarity_to_gt,added_lines,removed_lines,total_edit_lines,ok_braces,no_unsafe_calls,llm_verdict,llm_confidence,final_score,prompt_chars,output_chars,minimality_score,exact_match,is_safe,is_unclear,is_unsafe,validity_score,prompt_tokens_est,output_tokens_est
184033,0.8736077481840193,11,6,17,True,True,SAFE,1.0,4.0,1354,1094,0.05555555555555555,False,True,False,False,3.0,338.5,273.5
184706,0.7722473604826546,5,2,7,True,True,SAFE,1.0,4.0,629,317,0.125,False,True,False,False,3.0,157.25,79.25
180442,0.3473684210526316,3,1,4,True,True,SAFE,1.0,4.0,515,157,0.2,False,True,False,False,3.0,128.75,39.25
184315,0.3202846975088968,3,1,4,True,True,SAFE,1.0,4.0,590,236,0.2,False,True,False,False,3.0,147.5,59.0
178944,0.8166772756206238,3,13,16,True,True,SAFE,1.0,4.0,2224,1294,0.058823529411764705,False,True,False,False,3.0,556.0,323.5
183960,0.7215189873417721,7,3,10,True,True,SAFE,1.0,4.0,470,145,0.09090909090909091,False,True,False,False,3.0,117.5,36.25
186344,0.8473804100227791,4,2,6,True,True,SAFE,1.0,4.0,801,451,0.14285714285714285,False,True,False,False,3.0,200.25,112.75
186761,0.8352788586251622,10,5,15,True,True,SAFE,1.0,4.0,723,425,0.0625,False,True,False,False,3.0,180.75,106.25
188384,0.1666666666666666,3,1,4,True,True,SAFE,1.0,4.0,703,385,0.2,False,True,False,False,3.0,175.75,96.25
184068,0.9376876876876876,11,7,18,True,True,SAFE,1.0,4.0,1651,1396,0.05263157894736842,False,True,False,False,3.0,412.75,349.0
178978,0.9936353425683264,3,1,4,True,True,SAFE,1.0,4.0,1703,1344,0.2,False,True,False,False,3.0,425.75,336.0
184704,0.6711409395973155,7,3,10,True,True,SAFE,1.0,4.0,472,152,0.09090909090909091,False,True,False,False,3.0,118.0,38.0
181730,0.8890744025879161,2,25,27,True,True,SAFE,1.0,4.0,5433,4268,0.03571428571428571,False,True,False,False,3.0,1358.25,1067.0
183087,0.7360774818401937,48,46,94,True,True,SAFE,1.0,4.0,1661,1463,0.010526315789473684,False,True,False,False,3.0,415.25,365.75
186336,0.3735881841876629,8,6,14,True,True,SAFE,1.0,4.0,951,598,0.06666666666666667,False,True,False,False,3.0,237.75,149.5
187858,0.8217391304347826,74,74,148,True,True,SAFE,1.0,4.0,2220,2170,0.006711409395973154,False,True,False,False,3.0,555.0,542.5
180454,0.5345622119815668,4,1,5,True,True,SAFE,1.0,4.0,495,159,0.16666666666666666,False,True,False,False,3.0,123.75,39.75
188441,0.7458860211328598,7,1,8,True,True,SAFE,1.0,4.0,3276,3166,0.1111111111111111,False,True,False,False,3.0,819.0,791.5
186342,0.914694551458448,8,5,13,True,True,UNCLEAR,0.8,2.4,1217,901,0.07142857142857142,False,False,True,False,1.4,304.25,225.25
178262,0.0513326752221125,3,1,4,True,True,SAFE,1.0,4.0,2357,1974,0.2,False,True,False,False,3.0,589.25,493.5
183950,0.6967741935483871,4,2,6,True,True,SAFE,1.0,4.0,490,114,0.14285714285714285,False,True,False,False,3.0,122.5,28.5
178280,0.446215139442231,6,0,6,True,True,SAFE,1.0,4.0,462,195,0.14285714285714285,False,True,False,False,3.0,115.5,48.75
183088,0.6890243902439024,5,3,8,True,True,SAFE,1.0,4.0,488,140,0.1111111111111111,False,True,False,False,3.0,122.0,35.0
186758,0.5536940400988739,21,19,40,True,True,SAFE,1.0,4.0,2164,1778,0.024390243902439025,False,True,False,False,3.0,541.0,444.5
187853,0.5780169100691775,6,2,8,True,True,UNCLEAR,0.6,2.3,1614,1279,0.1111111111111111,False,False,True,False,1.3,403.5,319.75
184710,0.5,5,3,8,True,True,SAFE,1.0,4.0,491,136,0.1111111111111111,False,True,False,False,3.0,122.75,34.0
184712,0.8055555555555556,5,3,8,True,True,SAFE,1.0,4.0,462,98,0.1111111111111111,False,True,False,False,3.0,115.5,24.5
186749,0.8437158469945355,12,7,19,True,True,SAFE,1.0,4.0,789,512,0.05,False,True,False,False,3.0,197.25,128.0
187845,0.920858484238766,38,49,87,True,True,SAFE,1.0,4.0,2013,1533,0.011363636363636364,False,True,False,False,3.0,503.25,383.25
182218,0.6731293547409876,63,58,121,True,True,UNCLEAR,0.5,2.25,1815,1850,0.00819672131147541,False,False,True,False,1.25,453.75,462.5
180485,0.6,4,2,6,True,True,SAFE,1.0,4.0,471,126,0.14285714285714285,False,True,False,False,3.0,117.75,31.5
180474,0.0876190476190476,5,3,8,True,True,SAFE,1.0,4.0,1739,1390,0.1111111111111111,False,True,False,False,3.0,434.75,347.5
183082,0.6691943127962086,15,13,28,True,True,UNCLEAR,0.5,2.25,847,511,0.034482758620689655,False,False,True,False,1.25,211.75,127.75
186741,0.8556499020248204,8,5,13,True,True,SAFE,1.0,4.0,1089,764,0.07142857142857142,False,True,False,False,3.0,272.25,191.0
180470,0.2164179104477611,4,2,6,True,True,UNSAFE,0.5,1.0,580,213,0.14285714285714285,False,False,False,True,1.0,145.0,53.25
184307,0.6044444444444445,3,1,4,True,True,SAFE,1.0,4.0,504,157,0.2,False,True,False,False,3.0,126.0,39.25
183081,0.7858823529411765,8,6,14,True,True,SAFE,1.0,4.0,549,192,0.06666666666666667,False,True,False,False,3.0,137.25,48.0
186723,0.5630573248407643,5,0,5,True,True,SAFE,1.0,4.0,680,422,0.16666666666666666,False,True,False,False,3.0,170.0,105.5
178983,0.8572542901716068,4,0,4,True,True,SAFE,1.0,4.0,1623,1317,0.2,False,True,False,False,3.0,405.75,329.25
187827,0.7564259485924113,32,36,68,True,True,UNCLEAR,0.6,2.3,1529,1200,0.014492753623188406,False,False,True,False,1.3,382.25,300.0
178954,0.9489641232945932,4,2,6,True,True,SAFE,1.0,4.0,1355,1000,0.14285714285714285,False,True,False,False,3.0,338.75,250.0
187833,0.6746641074856046,23,67,90,True,True,UNCLEAR,0.5,2.25,2316,1029,0.01098901098901099,False,False,True,False,1.25,579.0,257.25
184717,0.967023172905526,2,0,2,True,True,UNCLEAR,0.5,2.25,1458,1095,0.3333333333333333,False,False,True,False,1.25,364.5,273.75
178977,0.9944640161046804,2,0,2,True,True,UNCLEAR,0.5,2.25,1364,999,0.3333333333333333,False,False,True,False,1.25,341.0,249.75
180367,0.9938398357289528,3,1,4,True,True,SAFE,1.0,4.0,1343,978,0.2,False,True,False,False,3.0,335.75,244.5
181786,0.9832603254067585,3,1,4,False,True,SAFE,1.0,3.0,6659,6295,0.2,False,True,False,False,2.0,1664.75,1573.75
181728,0.9719527625474484,4,2,6,True,True,SAFE,1.0,4.0,4988,4666,0.14285714285714285,False,True,False,False,3.0,1247.0,1166.5
181763,0.9928499832943536,3,1,4,True,True,UNSAFE,0.0,2.0,15232,14868,0.2,False,False,False,True,1.0,3808.0,3717.0
179510,0.390625,2,0,2,True,True,UNCLEAR,0.5,2.25,915,550,0.3333333333333333,False,False,True,False,1.25,228.75,137.5
186750,0.8885714285714286,14,12,26,True,True,SAFE,1.0,4.0,1050,731,0.037037037037037035,False,True,False,False,3.0,262.5,182.75
178260,0.4468085106382978,4,1,5,True,True,SAFE,1.0,4.0,608,292,0.16666666666666666,False,True,False,False,3.0,152.0,73.0
187865,0.6070970500213767,61,63,124,True,True,UNCLEAR,0.5,2.25,2040,1959,0.008,False,False,True,False,1.25,510.0,489.75
188533,0.0479919171507956,5,3,8,True,True,SAFE,1.0,4.0,472,125,0.1111111111111111,False,True,False,False,3.0,118.0,31.25
184313,0.0900443880786303,6,3,9,True,True,SAFE,1.0,4.0,1811,1505,0.1,False,True,False,False,3.0,452.75,376.25
182221,0.7780332056194125,9,1,10,True,True,UNCLEAR,0.8,2.4,2065,1992,0.09090909090909091,False,False,True,False,1.4,516.25,498.0
184318,0.9694148936170212,3,1,4,True,True,SAFE,1.0,4.0,1138,770,0.2,False,True,False,False,3.0,284.5,192.5
180375,0.5549828178694158,23,21,44,True,True,SAFE,1.0,4.0,869,666,0.022222222222222223,False,True,False,False,3.0,217.25,166.5
184319,0.8564102564102564,5,3,8,True,True,SAFE,1.0,4.0,784,415,0.1111111111111111,False,True,False,False,3.0,196.0,103.75
188334,0.5714285714285714,3,1,4,True,True,SAFE,1.0,4.0,446,105,0.2,False,True,False,False,3.0,111.5,26.25
182220,0.9941730165844912,3,1,4,True,True,UNCLEAR,0.5,2.25,2583,2231,0.2,False,False,True,False,1.25,645.75,557.75
186350,0.954112554112554,10,8,18,True,True,SAFE,1.0,4.0,2103,1727,0.05263157894736842,False,True,False,False,3.0,525.75,431.75
186343,0.6186440677966102,4,1,5,True,True,SAFE,1.0,4.0,585,248,0.16666666666666666,False,True,False,False,3.0,146.25,62.0
187828,0.7871231013375651,9,7,16,True,True,SAFE,1.0,4.0,2509,2072,0.058823529411764705,False,True,False,False,3.0,627.25,518.0
181765,0.878064420658018,2,150,152,False,True,UNCLEAR,0.5,1.25,22910,17806,0.006535947712418301,False,False,True,False,0.25,5727.5,4451.5
186743,0.8347701149425287,16,14,30,True,True,SAFE,1.0,4.0,1087,712,0.03225806451612903,False,True,False,False,3.0,271.75,178.0
178956,0.98348623853211,4,0,4,True,True,SAFE,1.0,4.0,1448,1108,0.2,False,True,False,False,3.0,362.0,277.0
187884,0.3416965352449223,29,29,58,True,True,SAFE,1.0,4.0,1200,767,0.01694915254237288,False,True,False,False,3.0,300.0,191.75
188359,0.430939226519337,5,0,5,True,True,SAFE,1.0,4.0,444,142,0.16666666666666666,False,True,False,False,3.0,111.0,35.5
186751,0.6051660516605166,4,1,5,True,True,SAFE,1.0,4.0,538,200,0.16666666666666666,False,True,False,False,3.0,134.5,50.0
184044,0.7536032944406315,8,6,14,True,True,SAFE,1.0,4.0,1121,719,0.06666666666666667,False,True,False,False,3.0,280.25,179.75
188558,0.4952741020793951,3,1,4,True,True,SAFE,1.0,4.0,1328,989,0.2,False,True,False,False,3.0,332.0,247.25
188596,0.4370215727209464,14,13,27,True,True,SAFE,1.0,4.0,814,462,0.03571428571428571,False,True,False,False,3.0,203.5,115.5
184047,0.8659247482776895,12,6,18,True,True,SAFE,1.0,4.0,1232,1038,0.05263157894736842,False,True,False,False,3.0,308.0,259.5
187869,0.8401557154653769,5,1,6,True,True,UNCLEAR,0.8,2.4,4680,4397,0.14285714285714285,False,False,True,False,1.4,1170.0,1099.25
182223,0.9948046950163556,3,1,4,True,True,SAFE,1.0,4.0,2960,2593,0.2,False,True,False,False,3.0,740.0,648.25
181723,0.90602023731528,3,62,65,True,True,SAFE,1.0,4.0,15182,12459,0.015151515151515152,False,True,False,False,3.0,3795.5,3114.75
187921,0.9240464344941955,41,43,84,True,True,SAFE,1.0,4.0,3307,3068,0.011764705882352941,False,True,False,False,3.0,826.75,767.0
183085,0.3237250554323725,7,5,12,True,True,SAFE,1.0,4.0,546,239,0.07692307692307693,False,True,False,False,3.0,136.5,59.75
178948,0.9952904238618524,3,1,4,True,True,SAFE,1.0,4.0,1645,1279,0.2,False,True,False,False,3.0,411.25,319.75
184716,0.6065573770491803,7,4,11,True,True,SAFE,1.0,4.0,487,124,0.08333333333333333,False,True,False,False,3.0,121.75,31.0
187856,0.8707583357922691,88,92,180,True,True,SAFE,1.0,4.0,3581,3486,0.0055248618784530384,False,True,False,False,3.0,895.25,871.5
182240,0.91985559566787,9,2,11,True,True,SAFE,1.0,4.0,3055,2811,0.08333333333333333,False,True,False,False,3.0,763.75,702.75
183942,0.9055804097009654,9,5,14,True,True,SAFE,1.0,4.0,2508,2216,0.06666666666666667,False,True,False,False,3.0,627.0,554.0
183993,0.5393700787401575,6,4,10,True,True,SAFE,1.0,4.0,677,303,0.09090909090909091,False,True,False,False,3.0,169.25,75.75
186725,0.8050632911392405,4,2,6,True,True,SAFE,1.0,4.0,538,174,0.14285714285714285,False,True,False,False,3.0,134.5,43.5
